Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Lead-Zinc,ZAWARMALA,RAJASTHAN,45 H,24 19N,73 41E,Lead-Zinc,"DOLOMITE,QUARTZITE,CONGLOMERATE",STRATABOUND-DISSEMINATION/STRINGERS,UDAIPUR Gp.,ZAWAR BELT,24.316666666666663,73.68333333333334
Lead-Zinc,BUNIYAR,JAMMU & KASHMIR,43 J,34 08N,74 11E,Lead-Zinc,"QUARTZ SERICITE SCHIST,CHLORITE SCHIST",STRATABOUND-DISCORDANT,BUNIYAR Fm..,OTHER,34.13333333333333,74.18333333333334
Lead-Zinc,CHELIMA,ANDHRA PRADESH,57 I,15 30 N,78 40 E,Lead-Zinc,BRECCIATED DOLOMITE,STRATABOUND-CONCORDANT,BAIRANKONDA QUARTZITE (CUMBUM FM.),CHELIMA BELT,15.5,78.66666666666667
Lead-Zinc,GARUBATHAN,WEST BENGAL,78 B,26 58 27 00N,88 38 88 45E,Lead-Zinc,"QUARTZ-Fe(MAgnetite) ROCK,CHLORITE SCHIST",STRATABOUND-CONCORDANT,BUXA Gp.,OTHER,,
Lead-Zinc,SERSANDU,JAMMU & KASHMIR,43 K,33 08N,74 53E,Lead-Zinc,"CHERTY DOLOMITE,LIMESTONE",STRATABOUND-SEDIMENTARY,SIRBAN LIMESTONE Fm..,OTHER,33.13333333333333,74.88333333333334
Lead-Zinc,SHERGAON,ARUNACHAL PRADESH,83 A,27 07N,92 15E,Lead-Zinc,DOLOMITE,STRATABOUND-CONCORDANT,DEDJA Fm..,OTHER,27.116666666666667,92.25
Manganese,BALAGHAT,CHATTISGARH,64 C,21 49N,80 10E,Manganese,"PHYLLITE,QUARTZITE",BEDDED-CONCORDANT,LOHANGI Fm..,BALAGHAT BELT,21.816666666666663,80.16666666666667
Manganese,HARENABALLI,KARNATAKA,57 C,13 19N,76 43E,Manganese,METAVOLCANICS-METASEDIMENTS,VOLCANOSEDIMENTARY-BEDDED,BABABUDAN (DHARWAR),CHITRADURGA BELT,13.316666666666666,76.71666666666667
Manganese,HULLIKATTE,KARNATAKA,57 B,14 30N,76 07E,Manganese,"BFQ,PHYLLITE",VOLCANOSEDIMENTARY-BEDDED,BABABUDAN (DHARWAR),CHITRADURGA BELT,14.5,76.11666666666666
Manganese,KAREKUCHI,KARNATAKA,57 C,13 20 N,76 42 10 E,Manganese,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,BABABUDAN (DHARWAR),CHITRADURGA BELT,13.333333333333334,76.70277777777778
Manganese,DEVADA,ANDHRA PRADESH,65 N,18 16N,83 33E,Manganese,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.,EASTERN GHAT BELT,18.266666666666666,83.55
Manganese,GARBHAM,ANDHRA PRADESH,65 N,18 22 18 23N,83 27 83 30E,Manganese,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.,EASTERN GHAT BELT,,
Manganese,NISHIKHAL,ORISSA,65 M,19 13N,83 13E,Manganese,KHONDALITE,SEDIMENTARY-BEDDED,EASTERN GHAT Sgp.,EASTERN GHAT BELT,19.216666666666665,83.21666666666667
Manganese,CODGUI,GOA,48 I,15 30 30N,74 08E,Manganese,LATERITE,SUPERGENE ENRICHMENT,DHARWAR Sgp.,GOA Fe - Mn PROVINCE,15.508333333333333,74.13333333333334
Manganese,COLAMBA,GOA,48 I,15 07 15 09N,74 07 00 42E,Manganese,MANGANIFEROUS PHYLLITE,LATERITISED,DHARWAR Sgp.,GOA Fe - Mn PROVINCE,,
Manganese,SULKORNA,GOA,48 I,15 05 06N,74 10 11E,Manganese,MANGANIFEROUS PHYLLITE,BEDDED-SEDIMENTARY,DHARWAR Sgp.,GOA Fe - Mn PROVINCE,15.085,74.16972222222223
Manganese,PIMPERGUDA-PIMPERKUNTA,ANDHRA PRADESH,56 I,19 44N,78 28E,Manganese,"LIMESTONE,SHALE,CHERT",BEDDED-SEDIMENTARY,PENGANGA Gp.,GODAVARI RIFT BELT,19.73333333333333,78.46666666666667
Manganese,PIMPERKUNTA,ANDHRA PRADESH,56 I,19 45N,78 28E,Manganese,"LIMESTONE,SHALE,CHERT",BEDDED-SEDIMENTARY,PENGANGA Gp.,GODAVARI RIFT BELT,19.75,78.46666666666667
Manganese,KOIRA,ORISSA,73 G,21 54N,85 15E,Manganese,"SHALE,TUFFACEOUS SHALE",VOLCANOSEDIMENTARY-BEDDED,BONAI Gp.,JAMDA-KOIRA BELT,21.9,85.25
Manganese,KATSAI,ORISSA,73 G,21 50N,85 21E,Manganese,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA BELT,21.83333333333333,85.35
Manganese,ROIDA,ORISSA,73 F,22 01N,85 22,Manganese,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA SECTOR,22.016666666666666,
Manganese,SARAMDAH-BHADRASAI,ORISSA,73 F,22 03N,85 24E,Manganese,TUFFACEOUS SHALE,BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.,NOAMUNDI-JAMDA SECTOR,22.05,85.4
Manganese,SARKUNDA,ORISSA,73 G,21 49N,85 09E,Manganese,METASEDIMENTS-METAVOLCANICS,BEDDED-VOLCANOSEDIMENTARY,IRON OREGROUP,NOAMUNDI-JAMDA SECTOR,21.816666666666663,85.15
Manganese,KANIVENALLI,KARNATAKA,57 B,14 57N,76 32 76 35E,Manganese,METASEDIMENTS-METAVOLCANICS,CONCORDANT,EASTERN GREENSTONE,SANDUR SCHIST BELT,14.95,
Manganese,RAMGAD,KARNATAKA,57 A,15 09N,76 26E,Manganese,METASEDIMENTS - METAVOLCANICS,STRATABOUND,EASTERN GREENSTONE,SANDUR SCHIST BELT,15.15,76.43333333333334
Manganese,BHANDARBOLI,MAHARASTRA,55 O,21 23N,79 27E,Manganese,GONDITE,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.383333333333333,79.45
Manganese,DHANSUA-LAUGHAR-JAGANTOLI,MADHYA PRADESH,"64 B, 64 C",22 00N,80 12 80 15E,Manganese,"SCHIST,PHYLLITE",CONCORDANT,LOHANGI Fm.,SAUSAR BELT,22.0,
Manganese,GUMGAON,MAHARASTRA,55 O,21 19 21 29N,79 03 79 31E,Manganese,SCHIST,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,,
Manganese,JUNEWANI,MAHARASTRA,55 O,21 27N,79 16E,Manganese,CALC GNEISS AND SCHIST,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.45,79.26666666666667
Manganese,NETRA,MAHARASTRA,55 O,21 32N,79 59E,Manganese,SCHIST,CONCORDANT,LOHANGI Fm.,SAUSAR BELT,21.53333333333333,79.98333333333333
Manganese,PANCHALA,MAHARASTRA,55 O,21 27N,79 46E,Manganese,GONDITE,CONCORDANT,SAUSAR Gp.,SAUSAR BELT,21.45,79.76666666666667
Manganese,PAWNIA,MADHYA PRADESH,55 O,21 43N,79 45E,Manganese,GONDITE-QUARTZITE,CONCORDANT,LOHANGI Fm..,SAUSAR BELT,21.716666666666665,79.75
Manganese,TIRODI,MADHYA PRADESH,55 O,21 41N,79 44E,Manganese,"GONDITE,QUARTZITE",BEDDED-CONCORDANT,LOHANGI Fm..,SAUSAR BELT,21.683333333333334,79.73333333333333
Manganese,UKWA,MADHYA PRADESH,64 C,21 58N,80 28E,Manganese,SCHIST AND PHYLLITE,CONCORDANT-TABULAR,LOHANGI Fm.,SAUSAR BELT,21.966666666666665,80.46666666666667
Manganese,LAUGHAR-KAMHATOLA,MADHYA PRADESH,64 C,21 50N,80 22E,Manganese,SCHISTS,CONCORDANT,LOHANGI Fm..,SAUSAR BELT,21.83333333333333,80.36666666666666
Manganese,ANMOD,GOA,48 I,15 26N,74 18E,Manganese,LATERITE ON VOLCANICS OF GREENSTONE,VOLCANOGENIC-ENRICHED,CHITRADURGA BELT Gp.,SHIMOGA-GOA BELT,15.433333333333334,74.3
Manganese,HATTIKAMBA,KARNATAKA,48 I,15 16N,74 27E,Manganese,LATERITE ON VOLCANOSEDIMENTARY SEQUENCE,SUPERGENE ENRICHMENT,CHITRADURGA BELT Gp.,SHIMOGA-GOA BELT,15.266666666666667,74.45
Manganese,TERALI-BISGOD,GOA,48 I,15 10N,74 22E,Manganese,LATERITE ON VOLCANOSEDIMETS OF GREENSTON,SUPERGENE ENRICHMENT,CHITRADURGA BELT BELT,SHIMOGA-GOA BELT,15.166666666666666,74.36666666666666
